"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/21/2025 22:01:06:012 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.8888888888888888","0.2054794520547945","0.033816425120772944","0","0.848"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.7058823529411765","0.24390243902439024","0.05660377358490566","0","0.84"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.7391304347826086","0.17857142857142858","0.016853932584269662","0","0.8909090909090909"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.7142857142857143","0.32558139534883723","0.03937007874015748","0","0.83"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.9473684210526315","0.14285714285714285","0.021505376344086023","0","0.8945454545454545"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","13","0.88","0.09615384615384616","0.04524886877828054","0","0.8707692307692307"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","12","0.7391304347826086","0.16129032258064516","0.015544041450777202","0","0.9"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","12","0.8888888888888888","0.13333333333333333","0.05752212389380531","0","0.8633333333333333"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","14","0.8","0.17204301075268819","0.04291845493562232","0","0.88"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.9411764705882353","0.1","0.07407407407407407","0","0.844"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.7368421052631579","0.2","0.04060913705583756","0","0.8727272727272727"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.8823529411764706","0.19642857142857142","0.036231884057971016","0","0.8622222222222222"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","13","0.7391304347826086","0.14705882352941177","0.014423076923076924","0","0.9076923076923077"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.7222222222222222","0.3870967741935484","0.0196078431372549","0","0.86"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.8","0.12345679012345678","0.018518518518518517","0","0.88"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","14","0.88","0.09734513274336283","0.0423728813559322","0","0.8771428571428571"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","15","0.8","0.1568627450980392","0.04032258064516129","0","0.888"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.8888888888888888","0.1875","0.039473684210526314","0","0.8545454545454545"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","13","0.8888888888888888","0.13131313131313133","0.05761316872427984","0","0.8676923076923077"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.7142857142857143","0.28","0.03546099290780142","0","0.8488888888888889"
