"BehaviorSpace results (NetLogo 6.2.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality"
"11/01/2021 22:21:42:264 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","ticks","extinct?"
"412","10","0","0.2","0.4","100","60","5","25","25","true"
"411","10","0","0.2","0.4","100","60","5","36","36","true"
"406","10","0","0.2","0.4","100","60","5","48","48","true"
"390","10","0","0.2","0.35","100","60","5","89","89","true"
"391","10","0","0.2","0.35","100","60","5","100","100","false"
"417","10","0","0.2","0.4","100","60","5","23","23","true"
"393","10","0","0.2","0.35","100","60","5","100","100","false"
"402","10","0","0.2","0.4","100","60","5","61","61","true"
"404","10","0","0.2","0.4","100","60","5","89","89","true"
"399","10","0","0.2","0.35","100","60","5","100","100","false"
"420","10","0","0.2","0.4","100","60","5","37","37","true"
"413","10","0","0.2","0.4","100","60","5","52","52","true"
"415","10","0","0.2","0.4","100","60","5","40","40","true"
"425","10","0","0.2","0.4","100","60","5","43","43","true"
"414","10","0","0.2","0.4","100","60","5","76","76","true"
"418","10","0","0.2","0.4","100","60","5","37","37","true"
"431","10","0","0.2","0.4","100","60","5","17","17","true"
"408","10","0","0.2","0.4","100","60","5","100","100","false"
"405","10","0","0.2","0.4","100","60","5","100","100","false"
"403","10","0","0.2","0.4","100","60","5","85","85","true"
"428","10","0","0.2","0.4","100","60","5","39","39","true"
"422","10","0","0.2","0.4","100","60","5","46","46","true"
"410","10","0","0.2","0.4","100","60","5","100","100","false"
"421","10","0","0.2","0.4","100","60","5","47","47","true"
"432","10","0","0.2","0.4","100","60","5","42","42","true"
"424","10","0","0.2","0.4","100","60","5","70","70","true"
"437","10","0","0.2","0.4","100","60","5","31","31","true"
"416","10","0","0.2","0.4","100","60","5","100","100","false"
"426","10","0","0.2","0.4","100","60","5","69","69","true"
"435","10","0","0.2","0.4","100","60","5","48","48","true"
"429","10","0","0.2","0.4","100","60","5","52","52","true"
"423","10","0","0.2","0.4","100","60","5","100","100","false"
"427","10","0","0.2","0.4","100","60","5","86","86","true"
"448","10","0","0.2","0.4","100","60","5","21","21","true"
"442","10","0","0.2","0.4","100","60","5","44","44","true"
"449","10","0","0.2","0.4","100","60","5","18","18","true"
"440","10","0","0.2","0.4","100","60","5","65","65","true"
"445","10","0","0.2","0.4","100","60","5","30","30","true"
"433","10","0","0.2","0.4","100","60","5","47","47","true"
"419","10","0","0.2","0.4","100","60","5","100","100","false"
"439","10","0","0.2","0.4","100","60","5","47","47","true"
"453","10","0","0.2","0.4","100","60","5","23","23","true"
"455","10","0","0.2","0.4","100","60","5","23","23","true"
"434","10","0","0.2","0.4","100","60","5","93","93","true"
"461","10","0","0.2","0.4","100","60","5","14","14","true"
"430","10","0","0.2","0.4","100","60","5","100","100","false"
"447","10","0","0.2","0.4","100","60","5","42","42","true"
"456","10","0","0.2","0.4","100","60","5","21","21","true"
"458","10","0","0.2","0.4","100","60","5","31","31","true"
"451","10","0","0.2","0.4","100","60","5","61","61","true"
"441","10","0","0.2","0.4","100","60","5","100","100","false"
"446","10","0","0.2","0.4","100","60","5","44","44","true"
"467","10","0","0.2","0.4","100","60","5","24","24","true"
"465","10","0","0.2","0.4","100","60","5","29","29","true"
"436","10","0","0.2","0.4","100","60","5","100","100","false"
"450","10","0","0.2","0.4","100","60","5","81","81","true"
"459","10","0","0.2","0.4","100","60","5","42","42","true"
"444","10","0","0.2","0.4","100","60","5","98","98","true"
