"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary profit"
"09/28/2025 22:18:16:098 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"3","0","0.5","1","neighbors","Optimize","25","50","18","83525.6804556217","54961.51201475411","5804.356993605925","0.03490508532456125"
"2","0","0.5","1","neighbors","Optimize","25","50","6","41418.65809110624","26906.26212374323","7403.390549324656","0.04113484404390191"
"10","0","0.5","1","neighbors","Optimize","25","50","9","44725.77116149914","33556.59430638643","6482.394431553635","0.042380909677594454"
"8","0","0.5","1","neighbors","Optimize","25","50","25","107599.79545756544","80185.32817485364","6010.99339007088","0.03349916353760538"
"14","0","0.5","1","neighbors","Optimize","25","50","9","47810.532657673306","25565.268783840882","6240.691498790247","0.043368620270816456"
"9","0","0.5","1","neighbors","Optimize","25","50","16","73854.70737889018","37437.21483196177","4884.869094513727","0.027122380673512886"
"12","0","0.5","1","neighbors","Optimize","25","50","17","83863.59676518156","52437.51171419341","5833.20276963044","0.03376548126727574"
"5","0","0.5","1","neighbors","Optimize","25","50","12","62011.26826716739","49530.01658947584","6826.193691792474","0.043076066628554906"
"4","0","0.5","1","neighbors","Optimize","25","50","6","33124.6024722696","23765.960412172997","6512.575722271331","0.044337582978462395"
"15","0","0.5","1","neighbors","Optimize","25","50","18","88418.99959066702","45142.035845804574","5936.758641209853","0.033707983141788384"
"3","0","0.5","1","neighbors","Optimize","25","50","19","89330.03744922763","56096.0904673663","5804.356993605927","0.03490508532456125"
"9","0","0.5","1","neighbors","Optimize","25","50","17","78739.57647340391","39041.748568440824","4884.869094513727","0.027122380673512882"
"12","0","0.5","1","neighbors","Optimize","25","50","18","78836.83121552908","57625.50540758925","5544.34312681004","0.03143888113509619"
"13","0","0.5","1","neighbors","Optimize","25","50","8","46741.0428142015","19823.924915013184","7349.995624154191","0.0430800497694028"
"5","0","0.5","1","neighbors","Optimize","25","50","13","62347.08233661416","50574.96746241006","6715.162382692007","0.04074427424132891"
"15","0","0.5","1","neighbors","Optimize","25","50","19","94516.60762121424","45506.1146147197","6097.608030547226","0.03619629655113892"
"8","0","0.5","1","neighbors","Optimize","25","50","26","111960.00864066175","82934.44761080758","6010.99339007088","0.03349916353760538"
"1","0","0.5","1","neighbors","Optimize","25","50","6","41049.74511601594","17282.7561687033","7536.662632616983","0.037998784082256216"
"7","0","0.5","1","neighbors","Optimize","25","50","9","42094.2219040434","24107.54236235427","6378.292770695227","0.04423289894027151"
"14","0","0.5","1","neighbors","Optimize","25","50","10","54219.52868028238","26987.44991671043","6408.996022609076","0.04167535002295198"
"3","0","0.5","1","neighbors","Optimize","25","50","20","93077.31979251772","59654.27276706402","5660.4658090517405","0.033884656878483466"
"6","0","0.5","1","neighbors","Optimize","25","50","6","28866.07199953231","16007.963521501011","6252.7442679216665","0.03662696382418005"
"10","0","0.5","1","neighbors","Optimize","25","50","10","49769.79023492057","36919.974264804645","6482.394431553633","0.04238090967759447"
"9","0","0.5","1","neighbors","Optimize","25","50","18","80298.83483956325","43997.0100476136","4884.869094513728","0.027122380673512882"
"5","0","0.5","1","neighbors","Optimize","25","50","14","63570.17664241391","56719.92152320043","6681.0210164574355","0.039212639936329105"
"11","0","0.5","1","neighbors","Optimize","25","50","7","45505.58917552601","27637.91208836779","7415.426769952024","0.04010049999923207"
"12","0","0.5","1","neighbors","Optimize","25","50","19","77274.06955507546","63580.49843487807","5878.82239580642","0.03413783634320474"
"8","0","0.5","1","neighbors","Optimize","25","50","27","116454.34885657944","85667.9216956312","6010.993390070881","0.033499163537605375"
"4","0","0.5","1","neighbors","Optimize","25","50","7","39652.23440574491","27178.711677550386","6527.631933475301","0.04299845262212466"
"2","0","0.5","1","neighbors","Optimize","25","50","7","46149.92057138771","32957.23002273706","7546.7389037497305","0.0426096938667747"
"14","0","0.5","1","neighbors","Optimize","25","50","11","59037.13453876577","30788.350923045367","6501.960592080806","0.043227008883373524"
"5","0","0.5","1","neighbors","Optimize","25","50","15","70270.0234703298","59186.91991446978","6699.846827915885","0.03924892158924935"
"8","0","0.5","1","neighbors","Optimize","25","50","28","122465.34224665031","86584.94040841301","6010.993390070881","0.03349916353760538"
"9","0","0.5","1","neighbors","Optimize","25","50","19","85183.70393407698","45580.4701854133","4884.869094513727","0.027122380673512882"
"15","0","0.5","1","neighbors","Optimize","25","50","20","100282.78695541243","46164.65778527552","5766.179334198194","0.03226994430859105"
"7","0","0.5","1","neighbors","Optimize","25","50","10","48225.05165627889","24241.069915683893","6130.829752235481","0.04220877663327232"
