"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"Number-of-Links"
"09/28/2025 22:48:19:783 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"13","1","1","1","links","Optimize","37","321928.0524876827","277037.59684918425"
"12","0","1","1","links","Optimize","30","190261.10993598614","148319.9768148459"
"8","7","1","1","links","Optimize","31","308078.5973484905","214230.71214839033"
"1","0","1","1","links","Optimize","18","147801.4800813325","99727.97304988395"
"14","2","1","1","links","Optimize","28","215923.2049212772","140204.491632471"
"10","9","1","1","links","Optimize","11","129128.23309643919","52220.57052441965"
"6","5","1","1","links","Optimize","12","146717.60508338196","76766.74954259762"
"13","1","1","1","links","Optimize","38","336944.64358927263","276768.6132819666"
"5","4","1","1","links","Optimize","12","132719.12806649707","78067.14330380641"
"4","3","1","1","links","Optimize","12","127302.02259665802","78497.96598899006"
"12","0","1","1","links","Optimize","31","198683.70880912125","150241.16464617118"
"8","7","1","1","links","Optimize","32","308243.8231644614","224877.14541891773"
"15","3","1","1","links","Optimize","14","139667.71901359412","83299.64071921229"
"14","2","1","1","links","Optimize","29","226190.7690149523","143439.84711996058"
"13","1","1","1","links","Optimize","39","335567.1192065757","284173.28093785234"
"12","0","1","1","links","Optimize","32","203231.3828597134","156408.40913186135"
"8","7","1","1","links","Optimize","33","321804.3062202311","226442.8688776076"
"17","5","1","1","links","Optimize","0","0","0"
"10","9","1","1","links","Optimize","12","127931.63555853214","66134.20720694782"
"6","5","1","1","links","Optimize","13","155727.0296440485","80853.77354314084"
"3","2","1","1","links","Optimize","16","151814.1807870906","123170.24567246102"
"14","2","1","1","links","Optimize","30","237607.34354813327","145185.54585190152"
"2","1","1","1","links","Optimize","16","161616.2521866435","94775.50963044993"
"16","4","1","1","links","Optimize","0","0","0"
