"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-profit"
"10/07/2021 01:21:15:648 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"172","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","105306.96624658603","6491.635288438584","0.03295104294061049"
"173","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","118359.1762770161","6612.247405161065","0.034077578350469435"
"176","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","115519.98328114796","6165.798742078684","0.03159531423295924"
"180","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","102184.11757416152","6656.269472497789","0.03609520036008526"
"179","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","116149.08266666671","6635.32502871538","0.032647107301599546"
"181","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","123927.30170375228","6731.662745037146","0.03536445950491154"
"175","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","117657.20497843697","6519.180640587688","0.033991241983083"
"177","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","120923.72669886624","6668.33694761977","0.03188681607252397"
"182","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","114927.1749226813","6947.153969884625","0.034682202772145974"
"183","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","131107.8865523916","7089.422832099402","0.02951712113709084"
"184","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","121448.70626868587","6916.913092628677","0.032785448285335715"
"174","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","118536.42163067292","6755.918152506344","0.0321769822171532"
"185","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","132609.8698840604","6846.516928735226","0.027286807727263086"
"186","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","120844.43966961672","6785.343534443538","0.030737835163297464"
"178","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","109562.62358489566","6637.868494796229","0.0315623616632423"
"188","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","127115.14584612918","7044.194309793571","0.03252801228090811"
"190","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","122869.2371723447","6973.961287450707","0.026915744548801798"
"192","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","116048.4642519462","6921.278962107587","0.03548263233813569"
"187","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","123917.62278193707","7273.084075112183","0.03509889277994479"
"191","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","105790.93314779423","6752.387853588222","0.03640735466290268"
"197","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","119618.66559468392","7080.196704515569","0.033023999560483706"
"196","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","126257.34491637457","6870.3365311285315","0.029974150178551037"
"189","25","neighbors","10","0.01","1","exp utility","100","0.95","0.1","wealth","24","121624.15121724915","7227.108247585031","0.032946449025061615"
