"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision"
"10/07/2025 22:04:18:816 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth","stdev-wealth"
"3","0.1","red","radius","0.01","exp utility","100","0","25","14","50354.372031464416","36816.88553374096"
"11","0.1","red","radius","0.01","exp utility","100","1","25","8","48690.74932677981","21476.054539872563"
"8","0.1","red","radius","0.01","exp utility","100","0","25","17","56623.19592099996","43395.71484588512"
"10","0.1","red","radius","0.01","exp utility","100","0","25","19","71744.87707461348","54416.069545841754"
"9","0.1","red","radius","0.01","exp utility","100","0","25","14","49249.48462967527","36941.893564334016"
"5","0.1","red","radius","0.01","exp utility","100","0","25","24","70959.8161897034","66512.73644416455"
"1","0.1","red","radius","0.01","exp utility","100","0","25","15","55588.448179443505","41328.11017341107"
"2","0.1","red","radius","0.01","exp utility","100","0","25","15","55571.15476275862","43991.11590897385"
"6","0.1","red","radius","0.01","exp utility","100","0","25","19","56849.37440864731","49399.11931469626"
"7","0.1","red","radius","0.01","exp utility","100","0","25","15","45380.9182867182","41144.67896687834"
"13","0.1","red","radius","0.01","exp utility","100","1","25","12","68928.80785782597","32170.155974532372"
"15","0.1","red","radius","0.01","exp utility","100","1","25","7","43334.01691722029","16893.867397703878"
"10","0.1","red","radius","0.01","exp utility","100","0","25","20","73197.74658454883","56635.171170176895"
"4","0.1","red","radius","0.01","exp utility","100","0","25","19","63926.00689502238","53849.98289849524"
"3","0.1","red","radius","0.01","exp utility","100","0","25","15","50026.79681596899","40622.82576792847"
"12","0.1","red","radius","0.01","exp utility","100","1","25","10","60078.62061698826","26505.73589938063"
"8","0.1","red","radius","0.01","exp utility","100","0","25","18","56704.86634459649","44533.01772877611"
"9","0.1","red","radius","0.01","exp utility","100","0","25","15","52643.46261119737","39619.4890065451"
"7","0.1","red","radius","0.01","exp utility","100","0","25","16","48004.455697505895","42677.3727594055"
"1","0.1","red","radius","0.01","exp utility","100","0","25","16","55626.601200913836","44670.88572793244"
"6","0.1","red","radius","0.01","exp utility","100","0","25","20","61088.180907628375","51363.96223883244"
"2","0.1","red","radius","0.01","exp utility","100","0","25","16","56114.42807634002","47406.36353112752"
"10","0.1","red","radius","0.01","exp utility","100","0","25","21","72412.48339116876","60624.15138163463"
"3","0.1","red","radius","0.01","exp utility","100","0","25","16","54494.7055280927","42623.42320747959"
"4","0.1","red","radius","0.01","exp utility","100","0","25","20","66431.75935682115","56221.087108635904"
"8","0.1","red","radius","0.01","exp utility","100","0","25","19","58943.735120231526","46373.2284521641"
"7","0.1","red","radius","0.01","exp utility","100","0","25","17","48363.18968590982","45322.62169535749"
"9","0.1","red","radius","0.01","exp utility","100","0","25","16","54254.77434444107","40955.157056269236"
"6","0.1","red","radius","0.01","exp utility","100","0","25","21","63431.52981109542","52685.36395555757"
"14","0.1","red","radius","0.01","exp utility","100","1","25","8","47782.06243196379","22109.45342218295"
"13","0.1","red","radius","0.01","exp utility","100","1","25","13","75240.09783348811","33947.9005029389"
"1","0.1","red","radius","0.01","exp utility","100","0","25","17","58873.80619445869","47701.97345095938"
"4","0.1","red","radius","0.01","exp utility","100","0","25","21","66796.92391510087","57836.11727645133"
"2","0.1","red","radius","0.01","exp utility","100","0","25","17","56481.254792415006","50118.70250527969"
"3","0.1","red","radius","0.01","exp utility","100","0","25","17","57394.694247006104","45270.08559798868"
"10","0.1","red","radius","0.01","exp utility","100","0","25","22","73147.86109759848","61672.01927151902"
"16","0.1","red","radius","0.01","exp utility","100","1","25","0","0","0"
"6","0.1","red","radius","0.01","exp utility","100","0","25","22","65471.25860621261","56010.932969876885"
"7","0.1","red","radius","0.01","exp utility","100","0","25","18","51632.43568758926","47465.57837779353"
"8","0.1","red","radius","0.01","exp utility","100","0","25","20","62301.80551751606","48734.77381791479"
"12","0.1","red","radius","0.01","exp utility","100","1","25","11","64665.95009538964","29797.57055656623"
"9","0.1","red","radius","0.01","exp utility","100","0","25","17","54377.43574872849","43772.93614096358"
"4","0.1","red","radius","0.01","exp utility","100","0","25","22","69078.97424078219","60695.61052340828"
"6","0.1","red","radius","0.01","exp utility","100","0","25","23","66390.14004015626","59954.971811591444"
"3","0.1","red","radius","0.01","exp utility","100","0","25","18","58298.15706674312","48003.366697334626"
"10","0.1","red","radius","0.01","exp utility","100","0","25","23","76802.73535689326","64087.21096807614"
