"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"10/07/2025 21:50:53:651 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"292","0.1","red","radius","0.01","exp utility","10","9","25","24","196982.62457807103"
"291","0.1","red","radius","0.01","exp utility","10","9","25","24","201556.4114193338"
"295","0.1","red","radius","0.01","exp utility","10","9","25","24","162283.01257008602"
"293","0.1","red","radius","0.01","exp utility","10","9","25","24","141715.5807607007"
"294","0.1","red","radius","0.01","exp utility","10","9","25","24","179525.61641090424"
"296","0.1","red","radius","0.01","exp utility","10","9","25","24","203599.6244198483"
"297","0.1","red","radius","0.01","exp utility","10","9","25","24","154400.49321384722"
"299","0.1","red","radius","0.01","exp utility","10","9","25","24","178874.17265888042"
"298","0.1","red","radius","0.01","exp utility","10","9","25","24","153863.23897538029"
"300","0.1","red","radius","0.01","exp utility","10","9","25","24","191811.87390764098"
"301","0.1","red","radius","0.01","exp utility","10","10","25","24","187621.38743817824"
"302","0.1","red","radius","0.01","exp utility","10","10","25","24","181265.176569177"
"303","0.1","red","radius","0.01","exp utility","10","10","25","24","150016.13037474916"
"304","0.1","red","radius","0.01","exp utility","10","10","25","24","194537.30521757025"
"305","0.1","red","radius","0.01","exp utility","10","10","25","24","181207.24359662583"
"306","0.1","red","radius","0.01","exp utility","10","10","25","24","144585.90038222336"
"307","0.1","red","radius","0.01","exp utility","10","10","25","24","187344.76717318402"
"308","0.1","red","radius","0.01","exp utility","10","10","25","24","135744.19826112146"
"310","0.1","red","radius","0.01","exp utility","10","10","25","24","185637.05239511922"
"311","0.1","red","radius","0.01","exp utility","10","10","25","24","200418.97429038843"
"309","0.1","red","radius","0.01","exp utility","10","10","25","24","182394.9136204553"
"312","0.1","red","radius","0.01","exp utility","10","10","25","24","212295.60727060254"
"313","0.1","red","radius","0.01","exp utility","10","10","25","24","166782.54436461558"
