"BehaviorSpace results (NetLogo 5.3)"
"Telemarketer_mergers.nlogo"
"experiment"
"02/25/2016 04:55:10:684 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"1","50","1000","154","1"
"2","50","1000","186","1"
"3","50","1000","183","1"
"4","50","1000","195","1"
"2","50","1000","187","1"
"1","50","1000","155","1"
"4","50","1000","196","1"
"3","50","1000","184","1"
"2","50","1000","188","1"
"1","50","1000","156","1"
"3","50","1000","185","1"
"4","50","1000","197","1"
"2","50","1000","189","1"
"1","50","1000","157","1"
"3","50","1000","186","1"
"4","50","1000","198","1"
"2","50","1000","190","1"
"1","50","1000","158","1"
"4","50","1000","199","1"
"3","50","1000","187","1"
"2","50","1000","191","1"
"1","50","1000","159","1"
"3","50","1000","188","1"
"5","50","1000","0","50"
"2","50","1000","192","1"
"1","50","1000","160","1"
"5","50","1000","1","50"
"5","50","1000","2","50"
"3","50","1000","189","1"
"2","50","1000","193","1"
"5","50","1000","3","50"
"1","50","1000","161","1"
"5","50","1000","4","50"
"3","50","1000","190","1"
"5","50","1000","5","50"
"2","50","1000","194","1"
"5","50","1000","6","50"
"1","50","1000","162","1"
"5","50","1000","7","50"
"3","50","1000","191","1"
"2","50","1000","195","1"
"5","50","1000","8","50"
"1","50","1000","163","1"
"5","50","1000","9","50"
"3","50","1000","192","1"
"5","50","1000","10","50"
"2","50","1000","196","1"
"1","50","1000","164","1"
"5","50","1000","11","50"
"3","50","1000","193","1"
"5","50","1000","12","50"
"2","50","1000","197","1"
"1","50","1000","165","1"
"5","50","1000","13","50"
"3","50","1000","194","1"
"5","50","1000","14","50"
"2","50","1000","198","1"
"5","50","1000","15","50"
"1","50","1000","166","1"
"3","50","1000","195","1"
"5","50","1000","16","50"
"2","50","1000","199","1"
"1","50","1000","167","1"
"5","50","1000","17","50"
"3","50","1000","196","1"
"5","50","1000","18","50"
"6","50","1000","0","50"
"1","50","1000","168","1"
"6","50","1000","1","50"
"3","50","1000","197","1"
"5","50","1000","19","50"
"6","50","1000","2","50"
"6","50","1000","3","50"
