"BehaviorSpace results (NetLogo 6.0.2)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"02/20/2018 04:06:18:929 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"125","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","151616.3290956243","0.7","7208.973226734271","0.029720502123135976"
"121","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","131573.23438709573","0.82","7251.156934601493","0.030653446045815155"
"132","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","130637.59520980623","0.84","6997.608374493865","0.031834627916729065"
"133","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","137469.15712576255","0.74","7081.74242509151","0.02907381930265986"
"1","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","127694.38914484797","1.18","7718.605016838238","0.037545939796872256"
"78","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","132491.10968132716","0.88","7237.248023061173","0.03088273835684767"
"93","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","126691.85964598908","0.85","7159.9731811747015","0.030876734376914156"
"122","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","132788.06292345864","0.78","7188.370554471014","0.030125500576543583"
"136","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","121176.38461496134","1.07","7398.3258425748745","0.0312660432432367"
"137","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","137280.0460967773","0.76","7373.282528333771","0.028970422480127694"
"123","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","121887.80631045891","0.84","7092.830854724969","0.030061910937204117"
"128","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","119981.06596939803","0.92","7213.820081068422","0.030405095280622817"
"74","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","132578.3188035464","0.97","7674.01957239552","0.03525557430064486"
"138","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","120675.97285227591","1.06","6974.041865850715","0.031015887580689138"
"134","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","131429.5899993718","0.86","6995.857827536052","0.032548394702956104"
"140","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","128521.50444513686","0.77","7282.044887759828","0.030234489573718205"
"139","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","127849.37192229182","0.85","7225.749605716523","0.03186041063376111"
"143","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","125578.66617296795","0.89","6804.991918431208","0.031197138903514846"
"141","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","123493.60597599039","0.85","7167.661220665026","0.03427932879720366"
"104","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","142079.64931659945","0.69","7120.4003559032235","0.029320143277542052"
