"","run","profit.multiplier","risk.multiplier","vision.mode","sense.radius","failure.max","turtle.coloring.mode","failure.min","max.ticks","color.patches.by","num.investors","time.horizon","tick","wealth","failures","profit","risk"
"123",123,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,121887.806310459,0.84,7092.83085472497,0.0300619109372041
"124",124,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,124879.302267245,0.98,7146.50638637231,0.0326066141184949
"125",125,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,151616.329095624,0.7,7208.97322673427,0.029720502123136
"126",126,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,120708.619316563,1.02,7243.48122195916,0.032635957065817
"127",127,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,126466.417333324,0.94,7442.62233792695,0.0346594749396425
"128",128,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,119981.065969398,0.92,7213.82008106842,0.0304050952806228
"129",129,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,126453.587053977,1.03,7105.12735810157,0.0333369060396469
"130",130,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,125753.404341178,0.84,7103.48203950243,0.0315551135954427
"131",131,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,132324.949011705,0.8,7407.36437392005,0.0298141833086287
"132",132,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,130637.595209806,0.84,6997.60837449387,0.0318346279167291
"133",133,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,137469.157125763,0.74,7081.74242509151,0.0290738193026599
"134",134,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,131429.589999372,0.86,6995.85782753605,0.0325483947029561
"135",135,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,122284.090090332,0.91,7350.00514768218,0.0328198000131962
"136",136,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,121176.384614961,1.07,7398.32584257487,0.0312660432432367
"137",137,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,137280.046096777,0.76,7373.28252833377,0.0289704224801277
"138",138,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,120675.972852276,1.06,6974.04186585072,0.0310158875806891
"139",139,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,127849.371922292,0.85,7225.74960571652,0.0318604106337611
"140",140,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,128521.504445137,0.77,7282.04488775983,0.0302344895737182
"141",141,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,123493.60597599,0.85,7167.66122066503,0.0342793287972037
"142",142,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,126614.012581175,0.9,7428.36428485919,0.0314736212383697
"143",143,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,125578.666172968,0.89,6804.99191843121,0.0311971389035148
"144",144,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,117551.058759028,0.81,6941.33610240264,0.0336493496303475
"145",145,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,131299.140131533,0.81,7136.1276037674,0.0331595632781714
"146",146,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,125597.210470287,0.78,7113.69900195099,0.029891090672623
"147",147,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,138878.997739418,0.76,7254.68143689038,0.0291909426106653
"148",148,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,150413.500977307,0.64,7208.97695775666,0.0264431765926149
"149",149,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,133170.122445072,0.86,7416.03395015942,0.0320710535521359
"150",150,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,131941.526665784,0.9,7272.32828160083,0.030733934905783
"151",151,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,124395.692026848,0.9,7167.32726415543,0.0278117015085349
"152",152,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,143937.637027122,0.63,7261.14465134406,0.0295132998493479
"153",153,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,137066.673652359,0.7,7046.40292039428,0.0307767805740713
"154",154,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,127567.67158694,0.92,7145.34778513405,0.0332104189406116
"155",155,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,131899.777207714,0.78,7367.59549822433,0.0349881678840904
"156",156,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,130109.695441443,0.75,7276.03146503559,0.0310374115928886
"157",157,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,128862.2716088,0.86,7250.99700926573,0.0299154808498197
"158",158,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,131468.572918694,0.84,7078.06916915387,0.0341789987002293
"159",159,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,125652.238108904,0.86,7073.47791248097,0.0315985287535655
"160",160,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,8,24,113453.756393692,1.03,6817.21592626901,0.0300569911271899
"161",161,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,122189.356296006,0.87,7003.91498918009,0.0324540958144312
"162",162,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,133536.917900196,0.77,7336.85241256889,0.0322734779144794
"163",163,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,125254.1292536,0.82,6890.84223355475,0.030367505249638
"164",164,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,120714.716429878,0.92,7262.16404437708,0.0319309752740317
"165",165,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,133191.038830047,0.82,7304.49400180361,0.0301266287184774
"166",166,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,120913.631903293,0.78,6670.27248382492,0.0303085562091649
"167",167,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,133285.079639477,0.84,7057.18108765213,0.0330549407980558
"168",168,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,123589.007186509,0.83,7121.86289315689,0.0325076003904608
"169",169,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,130363.556457076,0.82,7095.15424540592,0.0320488755786774
"170",170,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,132104.176911595,0.81,6992.72983053773,0.0314924225001799
"171",171,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,139645.731674209,0.59,7231.60160028939,0.026162120268943
"172",172,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,9,24,118305.47608106,0.9,7007.50054383872,0.0310815712359819
